
Rajesh||dr_136rajesh@rediffmail.com|RNP Dental And Orthodontic Care Centre|No 702/B,1st Floor9th Cross,Modi Hospital Road,2nd StageNext Kanthi Sweets|Rajajinagar|Bangalore|560010|Orthodontist Doctors(x)Dentists(x)Paedodontist Doctors(x)Dental Surgeons(x)Endodontist Doctors(x)Root Canal Doctors(x)Prosthodontist Doctors(x)Doctors Dentist Maxillo Facial(x)Doctors Dentist Preventive Therapy(x)Periodontist Doctors(x)Implantologist Doctors(x)Cosmetic Dentistry Doctors(x)|https://www.justdial.com/Bangalore/RNP-Dental-And-Orthodontic-Care-Centre-Next-Kanthi-Sweets-Rajajinagar/080PXX80-XX80-110607150809-Q8Y8_BZDET?xid=QmFuZ2Fsb3JlIERlbnRpc3Rz

Danish|9886630924||Tele Rad Rx Dx Health Care Pvt Ltd|No 34/1b,1st FloorBelathur VillageOpposite Sai Baba Temple|Kadugodi|Bangalore|560067|Health Care Centres(x)Dermatologists(x)ENT Doctors(x)Gynaecologist & Obstetrician Doctors(x)Dentists(x)Paediatricians(x)Orthopaedic Surgeons(x)General Physician Doctors(x)Neurologists(x)Physiotherapists(x)Ophthalmologists(x)Gastroenterologists(x)Cardiologists(x)CT Scan Centres(x)Diabetic Centres(x)Dietitians(x)Nephrologists(x)Radiologist Doctors(x)24 Hours X Ray Centres(x)Psychiatrist Doctors For Children(x)Genetic Disorder Doctors(x)|https://www.justdial.com/Bangalore/Tele-Rad-Rx-Dx-Health-Care-Pvt-Ltd-Opposite-Sai-Baba-Temple-Kadugodi/080PXX80-XX80-151027115208-A9F1_BZDET?xid=QmFuZ2Fsb3JlIERlbnRpc3Rz

Sri Chandra||justdailleadska@positivehomeopathy.com|Positive Homeopathy|1877, 39th Cross, 11th Main, 4 Block|Jayanagar|Bangalore|560011|ENT Doctors(x)Gynaecologist & Obstetrician Doctors(x)Dentists(x)Paediatricians(x)Orthopaedic Surgeons(x)General Physician Doctors(x)Neurologists(x)Physiotherapists(x)Ophthalmologists(x)Psychiatrists(x)Urologist Doctors(x)Gastroenterologists(x)Cardiologists(x)Ayurvedic Doctors(x)ENT Hospitals(x)On Call Doctor(x)Pulmonologists Doctors(x)Sexologist Doctors(x)Physiotherapist For Home Visits(x)Neurosurgeons(x)Piles Doctors(x)Maternity Hospitals(x)Endocrinologists(x)Diabetologist Doctors(x)Oncologists(x)Thyroid Doctors(x)Diabetic Centres(x)Cosmetic Surgeon Doctors(x)Pathology Labs(x)Psychologist Doctors(x)Vascular Surgery Doctors(x)Doctors For Allergy(x)Sexologist Doctors For Male(x)Rheumatologist Doctors(x)Paedodontist Doctors(x)Sexologist Doctors For Female(x)General Surgeon Doctors(x)Neuro Physician Doctors(x)Radiologist Doctors(x)Orthodontist Doctors(x)Infertility Doctors(x)Asthma Doctors(x)Andrologist Doctors(x)Tuberculosis Doctors(x)Sonography Centres(x)Paediatric Surgeon Doctors(x)Ayurvedic Doctors For Skin Treatment(x)ENT Surgeon Doctors(x)Piles Ayurvedic Doctors(x)Paediatric Neurologist Doctors(x)Paralysis Doctors(x)Doctors For HIV Aids Treatment(x)Laproscopic Surgery(x)Polyclinics(x)Fistula Surgeon Doctors(x)Liposuction Doctors(x)Dental Surgeons(x)Neuropsychiatrist Doctors(x)Obesity Clinics(x)Peripheral Nerve Surgeon Doctors(x)Oral Surgeon Doctors(x)Hepatologist Doctors(x)Eye Surgeon Doctors(x)Leprosy Doctors(x)Diabetic Foot Surgeon Doctors(x)Uro Surgeon Doctors(x)Hernia Surgeon Doctors(x)Paediatric Cardiologist Doctors(x)Homeopathic Doctors For Piles(x)Periodontist Doctors(x)Bariatric Surgeon Doctors(x)Pathologist Doctors(x)Hair Implant Doctors(x)Ayurvedic Doctors For Hair Problem(x)Therapist Doctors(x)Laproscopic Surgeon Doctors(x)Physiotherapists For Foot(x)Physiotherapist Doctors For Sports Injury(x)Maxillofacial Surgeon Doctors(x)Doctors For Plastic Surgeon(x)Oncologist Surgeon Doctors(x)Physiotherapists For Paralysis(x)Orthopaedic Physiotherapists(x)Doctors Gum Surgeon(x)Infertility Clinics(x)Thoracic Surgeon Doctors(x)Gall Bladder Cancer Surgeon Doctors(x)Neurological Physiotherapist Doctors(x)Endodontist Doctors(x)Face Lift Non Surgical Doctors(x)Thyroid Surgeon Doctors(x)Cardiac Surgeon Doctors(x)Physiotherapist For Obesity(x)Arthritis Ayurvedic Doctors(x)Physiotherapist For Diabetic Neuropathy(x)Periodontal Surgeon Doctors(x)Hypospadias Surgeon Doctors(x)Myelomeningocele Surgeon Doctors(x)Doctors Cardiologist & Vascular Surgeon(x)Hernia Ambulatory Surgeon Doctors(x)Physiotherapist Musculo Skeletal Doctors(x)Minimally Invasive Surgeon Paediatric Doctors(x)Dental Surgeons Doctors(x)Arthroscopic Surgeon Doctors(x)Colorectal Surgeon Doctors(x)Gynecological Cancer Surgeon Doctors(x)Craniofacial Deformity Surgeon Doctors(x)Naturopath Dermatologist Doctors(x)Pancreas Oncologist Surgeon Doctors(x)Colorectal Oncologist Surgeon Doctors(x)Physiotherapists For Spondylitis(x)Physiotherapists For Joint Pain(x)Arthritis Surgeon Doctors(x)Radio Surgeon Doctors(x)Doctors Cosmetic Surgeon Breast Firming(x)Cardiothoracic Surgeons(x)Ayurvedic Doctors For Stress(x)Knee Replacement Surgeon Doctors(x)Kidney Surgeon Doctors(x)Endoscopic Surgeon Doctors(x)Micro Surgeon Doctors(x)Ambulatory Hernia Surgeons(x)Obesity Surgeon Doctors(x)Interventional Cardiologists(x)Shoulder Replacement Surgeon Doctors(x)Genito Urinary Surgeon Doctors(x)Cosmetic Laser Surgeons(x)Doctors Cosmetic Surgeon Breast Development(x)Knee Surgeons(x)Physiotherapist Doctors For Laser Treatment(x)Pinhole Surgeons(x)Minimally Invasive Surgeon Doctors(x)Physiotherapists For Cerebral Palsy(x)Face Lift Doctors(x)Hepatobiliary Surgeon Doctors(x)Paralysis Ayurvedic Doctors(x)Cosmetic Dentistry Doctors(x)Weight Reduction Ayurvedic Doctors(x)Doctors Cardiac Vascular Surgeon(x)Doctors Ophthalmic Surgeon(x)Psychiatrist Doctors For Children(x)Osteoporosis Doctors(x)Gastrointestinal Surgeon Doctors(x)Hip Replacement Surgeon Doctors(x)|https://www.justdial.com/Bangalore/Positive-Homeopathy--Jayanagar/080PXX80-XX80-160829132950-Q5H8_BZDET?xid=QmFuZ2Fsb3JlIERlbnRpc3Rz

Vinay Vatsayan|9900093644|fo.itpl@apolloclinic.com|Apollo Clinic|No.673/AVarthur Main RoadOpposite Sriram Samruddhi Apartmentts,Near Kundalahalli Signal|Whitefield|Bangalore|560066|Diagnostic Centres(x)Dermatologists(x)ENT Doctors(x)Gynaecologist & Obstetrician Doctors(x)Paediatricians(x)Dentists(x)Orthopaedic Surgeons(x)General Physician Doctors(x)Neurologists(x)Physiotherapists(x)Ophthalmologists(x)Psychiatrists(x)Skin Care Clinics(x)Urologist Doctors(x)Gastroenterologists(x)Blood Testing Centres(x)Cardiologists(x)Physiotherapist For Home Visits(x)Ultrasound Scan(x)Neurosurgeons(x)Endocrinologists(x)Diabetologist Doctors(x)X Ray Centres(x)Health Check UP Centres(x)Pathology Labs(x)Health Care Centres(x)Nephrologists(x)Paedodontist Doctors(x)Rheumatologist Doctors(x)Laser Hair Removal Treatment(x)General Surgeon Doctors(x)Radiologist Doctors(x)Orthodontist Doctors(x)Laser Treatment For Skin(x)Dental X Ray Centres(x)Infertility Doctors(x)Diagnostic Centre Ultrasound Scan(x)Dental Surgeons(x)Pregnancy Testing Centres(x)Diagnostic Centre Scan Abdomen(x)Lab Ultra Sound Scanning 2D Echo(x)Surgeon Doctors(x)Testing Laboratory(x)Lamaze Classes(x)Skin Treatments(x)ECG Testing Labs(x)Diagnostic Centre Scan(x)Diagnostic Centres For Health Check UP Package(x)Pathologist Doctors(x)Root Canal Doctors(x)Endodontist Doctors(x)Doctors Dentist Preventive Therapy(x)X Ray Laboratory Medical(x)Tmt Test(x)Sonologist Doctors(x)Cosmetic Dentistry Doctors(x)Echo Cardiography(x)Diagnostic Centre Scan Cardiac(x)Physical Therapists(x)Doctors Ophthalmic Surgeon(x)Antenatal Classes(x)Computerised Diagnostic Centres(x)Doctors Vaccination(x)Lab Ultra Sound Scanning Foetal(x)Psychiatrist Doctors For Children(x)Dental Jewellery Dealers(x)Diagnostic Centre Endocrine Thyroid Scan(x)|https://www.justdial.com/Bangalore/Apollo-Clinic-Opposite-Sriram-Samruddhi-Apartmentts-Near-Kundalahalli-Signal-Whitefield/080PXX80-XX80-100604124420-D7Q1_BZDET?xid=QmFuZ2Fsb3JlIERlbnRpc3Rz

Faraz|7676500900|marketing.imo@columbiaasia.com|Columbia Asia Hospital|Survey No.10P & 12PVarthur Kodi, RamagondanahalliOpposite To  Forum Value Mall|Whitefield|Bangalore|560066|Dermatologists(x)Diagnostic Centres(x)ENT Doctors(x)Hospitals(x)Gynaecologist & Obstetrician Doctors(x)Dentists(x)Paediatricians(x)Orthopaedic Surgeons(x)General Physician Doctors(x)Neurologists(x)Ophthalmologists(x)Physiotherapists(x)Psychiatrists(x)Urologist Doctors(x)MRI Scan Centres(x)Gastroenterologists(x)Cardiologists(x)Multispeciality Hospitals(x)Kidney Hospitals(x)24 Hours Hospitals(x)CT Scan Centres(x)Pulmonologists Doctors(x)Ultrasound Scan(x)Neurosurgeons(x)Endocrinologists(x)Maternity Hospitals(x)Diabetologist Doctors(x)Diabetic Centres(x)Oncologists(x)X Ray Centres(x)Cosmetic Surgeon Doctors(x)Psychologist Doctors(x)Thyroid Testing Laboratory(x)Vascular Surgery Doctors(x)Nephrologists(x)Doctors For Allergy(x)Rheumatologist Doctors(x)General Surgeon Doctors(x)Radiologist Doctors(x)Kidney Specialist Doctors(x)Infertility Doctors(x)24 Hours ICU(x)IVF Centres(x)Spine Surgeons(x)Private Hospitals(x)Cardiac Surgeon Doctors(x)Liver Testing(x)Trauma Care(x)|https://www.justdial.com/Bangalore/Columbia-Asia-Hospital-Opposite-To--Forum-Value-Mall-Whitefield/080PXX80-XX80-140503143459-P1F5_BZDET?xid=QmFuZ2Fsb3JlIERlbnRpc3Rz

