
Clement Xavier||clement@apollocoimbatore.com|The Apollo Clinic|No 19Cowley Brown Road|R S Puram|Coimbatore|641002|Health Check UP Centres(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)ENT Doctors(x)Orthopaedic Surgeons(x)Paediatricians(x)Dentists(x)Pathology Labs(x)Diagnostic Centres(x)Gastroenterologists(x)Cardiologists(x)Urologist Doctors(x)Physiotherapists(x)Sonography Centres(x)Diabetologist Doctors(x)Home Nursing Services(x)Pulmonologists Doctors(x)General Surgeon Doctors(x)Neuro Physician Doctors(x)Clinics(x)Dietitians(x)Cosmetic Surgeon Doctors(x)Nursing Services(x)X Ray Centres(x)ENT Surgeon Doctors(x)Radiologist Doctors(x)Blood Testing Centres(x)Diabetic Centres(x)Polio Vaccination Centres(x)Vascular Surgery Doctors(x)Vaccination Centres(x)ECG Testing Labs(x)Digital X Ray Centres(x)Obesity Clinics(x)Body Scan Doctors(x)Scan Doctors(x)Root Canal Doctors(x)Child Immunisation Doctors(x)Computerised Diagnostic Centres(x)Computerised Pathology Labs(x)|https://www.justdial.com/Coimbatore/The-Apollo-Clinic--R-S-Puram/0422PX422-X422-111008143240-R9E2_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

Mohan P||cardiomoha@gmail.com|Med Green Medical Centre|No 20 A&BGKD NagarNear Chip Technology|Papanaickenpalayam|Coimbatore|641037|Diagnostic Centres(x)Cardiologists(x)Homeopathic Doctors(x)Ayurvedic Doctors(x)Piles Doctors(x)Diabetologist Doctors(x)Clinics(x)Cardiac Hospitals(x)Thyroid Doctors(x)Homeopathic Clinics(x)Sexologist Doctors For Male(x)Hair Loss Doctors(x)Rheumatologist Doctors(x)Asthma Doctors(x)Acupuncture Doctors(x)Doctors For Allergy(x)Spine Specialist Doctors(x)Ayurvedic Doctors For Skin Treatment(x)Headache Doctors(x)Infertility Doctors(x)Naturopath Doctors(x)Paralysis Ayurvedic Doctors(x)Ayurvedic Doctors For Cancer Treatment(x)Acupressure Doctors(x)Ayurvedic Sexologist Doctors(x)ECG Testing Labs(x)Paediatric Cardiologist Doctors(x)Weight Loss Doctors(x)Skin Treatment Homeopathic Doctors(x)Gastrointestinal Doctors(x)Arthritis Doctors(x)Piles Ayurvedic Doctors(x)Allopathic Doctors(x)Ulcer Doctors(x)Homeopathic Doctors For Thyroid(x)Migraine Therapy Doctors(x)Cardiologist 2D Echo Doctors(x)Fertility Doctors(x)Doctors Joint Pains(x)Ayurvedic Doctors For Orthopedic(x)Homeopathic Psychiatrist Doctors(x)Ayurvedic Sexologist Doctors For Male(x)Homeopathic Paediatrician Doctors(x)Psoriasis Ayurvedic Doctors(x)Ayurvedic Doctors For Blood Pressure Treatment(x)Ayurvedic Doctors For Nadi Pariksha(x)Ayurvedic Doctors For Kidney Treatment(x)Arthritis Ayurvedic Doctors(x)Homeopathic Doctors For Urologist(x)Ayurvedic Doctors For Diabetes(x)Sonologist Doctors(x)Herbal Therapist Doctors(x)Homeopathic Rheumatologist Doctors(x)Ayurvedic Doctors For Brain Tumor Treatment(x)Homeopathic Doctors For Piles(x)Asthma Ayurvedic Doctors(x)Ayurvedic Doctors For Kidney Stone(x)Ayurvedic Doctors For Hair Fall Treatment(x)Chelation Therapy Doctors(x)Ayurvedic Sexologist Doctors For Female(x)Ayurvedic Doctors For Abdominal Problem(x)Infertility Doctors For Male(x)Ayurvedic Doctors For Back Pain(x)Naturopath Consultants Doctors(x)Naturopath Doctors For Migrane(x)Kidney Stone Naturopath Doctors(x)Aroma Therapy Centers(x)Homeopathic Doctors For Asthma(x)Homeopathic Physician Doctors(x)Cosmetic Acupuncturist Doctors(x)Naturopath Joint Pain Doctors(x)Weight Gain Ayurvedic Doctors(x)Ayurvedic Doctors For Sinus(x)Rheumatic Ayurvedic Doctors(x)Respiratory Problem Ayurvedic Doctors(x)Ayurvedic Doctors For Acne Treatment(x)Ayurvedic Doctors For Dvt Treatment(x)Ayurvedic Doctors For Migraine(x)Ayurvedic Doctors For Allergy(x)Allergy Homeopathic Doctors(x)Ayurvedic Doctors For Pulse Diagnosis(x)Ayurvedic Doctors For Body Detoxification(x)Ayurvedic Doctors For Acidity(x)Ayurvedic Paediatrician Doctors(x)Ayurvedic Doctors For Pimple Treatment(x)Ayurvedic Doctors For Dermatitis(x)Gastroenteritis Ayurvedic Doctors(x)Cardiac Ayurvedic Doctors(x)Homeopathic Doctors For Arthritis(x)Infertility Doctors For Female(x)Naturopath Dermatologist Doctors(x)Ayurvedic Doctors For Fistula(x)Aids Ayurvedic Doctors(x)Slip Disc Doctors(x)Ayurvedic Doctors For Hair Problem(x)Impotency Doctors(x)Infertility Ayurvedic Doctors(x)Scabies Ayurvedic Doctors(x)Osteoarthritis Ayurvedic Doctors(x)Rhinitis Ayurvedic Doctors(x)Spondylitis Ayurvedic Doctors(x)Chinese Acupressure Therapists Doctors(x)Corn Removal Doctors(x)Auricular Acupuncture Doctors(x)Doctors For Pain Management Therapy(x)Ayurvedic Doctors For Kidney Failure Treatment(x)Doctors For Premature Ejaculation Treatment(x)Ayurvedic Doctors For Lung Cancer Treatment(x)Arrhythmia Doctors(x)Ayurvedic Doctors For Backache Treatment(x)Ayurvedic Doctors For Pancreas Cancer Treatment(x)Ayurvedic Doctors For Phimosis Treatment(x)Naturopathic Dermatologist Doctors(x)Ayurvedic Doctors For Sports Injury(x)Ultrasonologist Doctors(x)Ayurvedic Doctors For Hypertension(x)Naturopath Doctors For Arthritis(x)Naturopath Back Problem Doctors(x)Rejuvenation Doctors(x)Ayurvedic Doctors For Chinese Diagnosis(x)Scalp Acupuncture Doctors(x)Ayurvedic Doctors For Cerebral Palsy(x)Ayurvedic Doctors For Pcos(x)Non Invasive Cardiologist Doctors(x)Ayurvedic Doctors For Gall Bladder Stone Treatment(x)Fibroid Doctors(x)Ayurvedic Doctors For Breast Cancer Treatment(x)Diabetes Homeopathic Doctors(x)Ayurvedic Doctors For Throat Cancer Treatment(x)Ayurvedic Doctors For Sexual Disorder(x)Obesity Ayurvedic Doctors(x)Ayurvedic Doctors For Joint Pain(x)|https://www.justdial.com/Coimbatore/Med-Green-Medical-Centre-Near-Chip-Technology-Papanaickenpalayam/0422PX422-X422-150701155717-S9F9_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

Dennis Kovilpillai||Kirubahospital@yahoo.in|Kiruba Hospital|13/82 A  & BVelandipalayamNear police check post||Coimbatore|641001|Cardiologists(x)General Physician Doctors(x)General Surgeon Doctors(x)Cardiac Hospitals(x)Neuro Physician Doctors(x)Paediatric Cardiologist Doctors(x)Cataract Operation Doctors(x)Fetal Eco Cardiologist Doctors(x)Uro Physicians Doctors(x)|https://www.justdial.com/Coimbatore/Kiruba-Hospital-Near-police-check-post/0422PX422-X422-140612085214-Z9K9_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

siva balan||siva.balan@clearmedi.com|Ashwin Hospital|No 1Sathy Main RoadNear Omni Bus Stand, Alamu Nagar|Gandhipuram|Coimbatore|641012|Dermatologists(x)Hospitals(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)ENT Doctors(x)Orthopaedic Surgeons(x)Neurologists(x)Gastroenterologists(x)Cardiologists(x)ENT Hospitals(x)Pulmonologists Doctors(x)Cancer Hospitals(x)Cardiac Hospitals(x)Kidney Hospitals(x)Oncologists(x)ENT Surgeon Doctors(x)Hepatologist Doctors(x)Radiologist Doctors(x)Oncologist Surgeon Doctors(x)Laparoscopic Surgery Doctors(x)Paediatric Neurologists Doctors(x)Breast Cancer Doctors(x)Cancer Testing Labs(x)Oncologist Surgeons(x)Radiotherapist Doctors(x)Radiation Oncologist Doctors(x)Blood Cancer Treatment Centers(x)Paediatric Pulmonologist Doctors(x)Robotic Surgery For Head & Neck Tumour(x)Colorectal Oncologist Surgeon Doctors(x)Gastrointestinal Cancer Doctors(x)Colorectal Surgeon Doctors(x)Paediatric Neurologist Doctors(x)|https://www.justdial.com/COIMBATORE/Ashwin-Hospital-Near-Omni-Bus-Stand--Alamu-Nagar-Gandhipuram/0422PX422-X422-000994073849-K5S7_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

Sathya||sathyamedicalcentre@gmail.com|Sathya medical centre and hospital|582/63tatabad 1st streetNext to  KVB|Sivananda Colony|Coimbatore|641012|Dermatologists(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)ENT Doctors(x)Orthopaedic Surgeons(x)Paediatricians(x)Cardiologists(x)Physiotherapists(x)Orthopaedic Hospitals(x)Children Hospitals(x)ENT Hospitals(x)Diabetologist Doctors(x)Piles Doctors(x)Multispeciality Hospitals(x)Cardiac Hospitals(x)Thyroid Doctors(x)Cosmetic Surgeon Doctors(x)Doctors- Paediatrics (Child Specialists)(x)Private Hospitals(x)Diabetic Centres(x)Physiotheraphy Hospitals(x)Doctors Paediatrician Child Specialist(x)Doctors-Paediatricianschild Specialist(x)|https://www.justdial.com/Coimbatore/Sathya-medical-centre-and-hospital-Next-to--KVB-Sivananda-Colony/0422PX422-X422-170122204102-L9D4_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

Gogula Raman|||GRN Hospitals|No 35Mallikrishnama Street Avarampalayam RoadAyyapan Koil|Peelamedu|Coimbatore|641004|Hospitals(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)ENT Doctors(x)Neurologists(x)Paediatricians(x)Dentists(x)Pathology Labs(x)Cardiologists(x)Urologist Doctors(x)Piles Doctors(x)Diabetologist Doctors(x)Multispeciality Hospitals(x)General Surgeon Doctors(x)Cardiac Hospitals(x)Neuro Physician Doctors(x)Dietitians(x)Maternity Hospitals(x)X Ray Centres(x)Private Hospitals(x)Blood Testing Centres(x)Diabetic Centres(x)Ultrasound Scan(x)Laparoscopic Surgery Doctors(x)Hospital Thyroid(x)ECG Testing Labs(x)Infertility Centres(x)Doctors Surgeon Gynaecology(x)Liposuction Doctors(x)Clinical Laboratory(x)Urine Testing Labs(x)Hospital Ultrasound Scan(x)Laparoscopic Hernia Surgery Doctors(x)24 Hours ECG Testing Lab(x)|https://www.justdial.com/Coimbatore/GRN-Hospitals-Ayyapan-Koil-Peelamedu/0422PX422-X422-141223120059-K9E8_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

Ponnuswamy||kpshospitals.medi@gmail.com|Kps Hospitals Pvt Ltd|No 208Annur RoadNear Bus Stand|Mettupalayam|Coimbatore|641301|Hospitals(x)Dermatologists(x)General Physician Doctors(x)ENT Doctors(x)Orthopaedic Surgeons(x)Gynaecologist & Obstetrician Doctors(x)Neurologists(x)Paediatricians(x)Diagnostic Centres(x)Psychiatrists(x)Cardiologists(x)Diabetologist Doctors(x)Nephrologists(x)Diagnostic Centre Scan(x)Doctors & Specialists(x)Doctors For Laparoscopy(x)|https://www.justdial.com/COIMBATORE/Kps-Hospitals-Pvt-Ltd-Near-Bus-Stand-Mettupalayam/0422P422STD2200270_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

Chandrasekaran S P|9894343114|anushriacupuntureclinic@gmail.com|Anushri Acupuncture  & Varma Clinic( Research Centre)|No 472-A6th Street Extn,100 Feet Road|Gandhipuram|Coimbatore|641012|Cardiologists(x)Urologist Doctors(x)Diabetologist Doctors(x)Endocrinologists(x)Acupuncture Doctors(x)Doctors For Allergy(x)Headache Doctors(x)Gall Bladder Stone Removal Doctors(x)Acupuncture Therapists(x)|https://www.justdial.com/Coimbatore/Anushri-Acupuncture----Varma-Clinic(-Research-Centre)--Gandhipuram/0422PX422-X422-100413171246-G9W6_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

Bharathi||sangeethahospital@gmail.com|Sangeetha Hospital|No 5/402 HPalakad Main Road|Kunniyamuthur|Coimbatore|641008|Dermatologists(x)Hospitals(x)General Physician Doctors(x)Chemists(x)Gynaecologist & Obstetrician Doctors(x)Orthopaedic Surgeons(x)Paediatricians(x)Cardiologists(x)24 Hours Chemists(x)Piles Doctors(x)General Surgeon Doctors(x)Thyroid Doctors(x)Blood Testing Centres(x)Thyroid Testing Laboratory(x)Fertility Centres(x)Polio Vaccination Centres(x)Vaccination Centres(x)Infertility Clinics(x)ECG Diagnostic Centres(x)Doctors & Specialists(x)Fertility Doctors(x)Abortion Centres(x)Doctors Women Specialist(x)Diagnostic Centre Laproscopy(x)IUI Centres(x)Family Planning Centres(x)On Call Paediatrician Doctors(x)Tonsiltis Doctors(x)Doctors Paediatrician Child Specialist(x)Doctors Pregnancy Exercise(x)2D Echocardiography Testing Centres(x)Cardiac Emergency Doctors(x)Trauma Care(x)Doctors For Laparoscopy(x)|https://www.justdial.com/Coimbatore/Sangeetha-Hospital--Kunniyamuthur/0422PX422-X422-000732585374-T0V2_BZDET?xid=Q29pbWJhdG9yZSBDYXJkaW9sb2dpc3Rz

