
Clement Xavier||clement@apollocoimbatore.com|The Apollo Clinic|No 19Cowley Brown Road|R S Puram|Coimbatore|641002|Health Check UP Centres(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)ENT Doctors(x)Orthopaedic Surgeons(x)Paediatricians(x)Dentists(x)Pathology Labs(x)Diagnostic Centres(x)Gastroenterologists(x)Cardiologists(x)Urologist Doctors(x)Physiotherapists(x)Sonography Centres(x)Diabetologist Doctors(x)Home Nursing Services(x)Pulmonologists Doctors(x)General Surgeon Doctors(x)Neuro Physician Doctors(x)Clinics(x)Dietitians(x)Cosmetic Surgeon Doctors(x)Nursing Services(x)X Ray Centres(x)ENT Surgeon Doctors(x)Radiologist Doctors(x)Blood Testing Centres(x)Diabetic Centres(x)Polio Vaccination Centres(x)Vascular Surgery Doctors(x)Vaccination Centres(x)ECG Testing Labs(x)Digital X Ray Centres(x)Obesity Clinics(x)Body Scan Doctors(x)Scan Doctors(x)Root Canal Doctors(x)Child Immunisation Doctors(x)Computerised Diagnostic Centres(x)Computerised Pathology Labs(x)|https://www.justdial.com/Coimbatore/The-Apollo-Clinic--R-S-Puram/0422PX422-X422-111008143240-R9E2_BZDET?xid=Q29pbWJhdG9yZSBVcm9sb2dpc3QgRG9jdG9ycw==

Srinivasan|9840477776|geethasreehospitals@gmail.com|Geethasree Hospitals|No 103Sathy Road Poonthottam NagarBehind ICICI Bank|Saravanampatti|Coimbatore|641035|Multispeciality Hospitals(x)Dermatologists(x)Hospitals(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)Urologist Doctors(x)Piles Doctors(x)Diabetologist Doctors(x)Pulmonologists Doctors(x)General Surgeon Doctors(x)ENT Surgeon Doctors(x)Paediatric Surgeon Doctors(x)Kidney Surgeon Doctors(x)Laparoscopic Surgery Doctors(x)Thyroid Surgeons(x)Doctors For Laparoscopy(x)|https://www.justdial.com/Coimbatore/Geethasree-Hospitals-Behind-ICICI-Bank-Saravanampatti/0422PX422-X422-131126110046-Q1J4_BZDET?xid=Q29pbWJhdG9yZSBVcm9sb2dpc3QgRG9jdG9ycw==

Silambuchelvi D|||Vamsam Fertility Research Centre|No 1/2Athipalayam pirivu, Sathy roadShree Sivaa Hospital Pvt Ltd|Ganapathy|Coimbatore|641006|Hospitals(x)Gynaecologist & Obstetrician Doctors(x)Diagnostic Centres(x)Urologist Doctors(x)Sexologist Doctors(x)Test Tube Baby Centres(x)Fertility Centres(x)IVF Centres(x)Laparoscopic Surgery Doctors(x)Infertility Doctors(x)Uro Surgeon Doctors(x)Infertility Clinics(x)Doctors Surgeon Gynaecology(x)Infertility Centres(x)Andrologist Doctors(x)Fertility Doctors(x)Doctors Women Specialist(x)Diagnostic Centre Laproscopy(x)IUI Centres(x)ICSI Treatment Centres(x)Surrogacy Doctors(x)Infertility Doctors For Male(x)Family Planning Centres(x)Doctors Pregnancy Exercise(x)Uro Oncologist Doctors(x)Infertility Doctors For Female(x)Cryo Surgery Doctors(x)Laparoscopic Hysterectomy Surgery Doctors(x)Menopause Doctors(x)Doctors For Laparoscopy(x)Impotency Doctors(x)Cyst Doctors(x)|https://www.justdial.com/Coimbatore/Vamsam-Fertility-Research-Centre-Shree-Sivaa-Hospital-Pvt-Ltd-Ganapathy/0422PX422-X422-120409105944-M2E4_BZDET?xid=Q29pbWJhdG9yZSBVcm9sb2dpc3QgRG9jdG9ycw==

Gogula Raman|||GRN Hospitals|No 35Mallikrishnama Street Avarampalayam RoadAyyapan Koil|Peelamedu|Coimbatore|641004|Hospitals(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)ENT Doctors(x)Neurologists(x)Paediatricians(x)Dentists(x)Pathology Labs(x)Cardiologists(x)Urologist Doctors(x)Piles Doctors(x)Diabetologist Doctors(x)Multispeciality Hospitals(x)General Surgeon Doctors(x)Cardiac Hospitals(x)Neuro Physician Doctors(x)Dietitians(x)Maternity Hospitals(x)X Ray Centres(x)Private Hospitals(x)Blood Testing Centres(x)Diabetic Centres(x)Ultrasound Scan(x)Laparoscopic Surgery Doctors(x)Hospital Thyroid(x)ECG Testing Labs(x)Infertility Centres(x)Doctors Surgeon Gynaecology(x)Liposuction Doctors(x)Clinical Laboratory(x)Urine Testing Labs(x)Hospital Ultrasound Scan(x)Laparoscopic Hernia Surgery Doctors(x)24 Hours ECG Testing Lab(x)|https://www.justdial.com/Coimbatore/GRN-Hospitals-Ayyapan-Koil-Peelamedu/0422PX422-X422-141223120059-K9E8_BZDET?xid=Q29pbWJhdG9yZSBVcm9sb2dpc3QgRG9jdG9ycw==

Chandrasekaran S P|9894343114|anushriacupuntureclinic@gmail.com|Anushri Acupuncture  & Varma Clinic( Research Centre)|No 472-A6th Street Extn,100 Feet Road|Gandhipuram|Coimbatore|641012|Cardiologists(x)Urologist Doctors(x)Diabetologist Doctors(x)Endocrinologists(x)Acupuncture Doctors(x)Doctors For Allergy(x)Headache Doctors(x)Gall Bladder Stone Removal Doctors(x)Acupuncture Therapists(x)|https://www.justdial.com/Coimbatore/Anushri-Acupuncture----Varma-Clinic(-Research-Centre)--Gandhipuram/0422PX422-X422-100413171246-G9W6_BZDET?xid=Q29pbWJhdG9yZSBVcm9sb2dpc3QgRG9jdG9ycw==

